ID;PT;EN
1;                                  O QUE ESTAVA A FALTAR AO SEU NEGÓCIO;                                      WHAT WAS MISSING IN YOUR BUSINESS
2;ENTRAR;LOGIN
3;REGISTAR;SIGN-UP
4;Entre em contacto com AoRWordsSupport@mail.com para criar a sua conta.;Contact AoRWordsSupport@mail.com to create your account.
5;VOLTAR;RETURN
6;SAIR;LOG-OUT
7;                                                                     ENTRAR;                                                                     LOGIN
8;E-mail;E-mail
9;Palavra-chave;Password
10;ENTRAR;LOGIN
11;Dados de login inválidos;Invalid login
12;Erro Login;Login Error
13;Bem-vindo ;Welcome 
14;                                                          MENU
15;NOVA FRASE;NEW QUOTE
16;CONTA;ACCOUNT
17;EDITAR FRASE;EDIT QUOTE
18;NOVA APLICAÇÃO;NEW APP
19;CONTRATOS;CONTRACTS
20;CONFIGURAÇÕES;CONFIGURATIONS
21;NOVO UTILIZADOR;NEW USER
22;ADICIONAR ANÚNCIO;ADD ADVERTISEMENT
23;CRIAR;CREATE
24;Publicitário;Advertiser
25;Programador;Programmer
26;Intermediário;Intermediary
27;Número de Telefone Inválido;Invalid Phone Number
28;Erro ao Digitar o Número de Telefone;Error Typing Phone Number
29;                                    ADICIONAR NOVO UTILIZADOR;                                                  ADD NEW USER
30;Nome;Name
31;Morada;Address
32;Telefone;Phone Number
33;ADICIONAR;ADD
34;FRASES A EXIBIR;QUOTES TO DISPLAY
35;                                      ADICIONAR NOVA APLICAÇÃO;                                                    ADD NEW APP
36;Nome da Aplicação;App name
37;Descrição;Description
38;Valor Unitário;Unitary Value
39;E-mail do Programador;Programmer's E-mail
40;                                            ADICIONAR NOVA FRASE;                                                ADD NEW QUOTE
41;Frase;Quote
42;Número de Exibições;Number os Exibitions
43;E-mail do Publicitário;Advertiser's E-mail
44;DEPOSITAR;DEPOSIT
45;LEVANTAR;WITHDRAW
46;HISTÓRICO;HISTORY
47;Saldo: ;Balance: 
48;                                                          CONTA;                                                        ACCOUNT;
49;E-mail Inválido;Invalid E-mail
50;Erro ao digitar o E-mail;Error typing E-mail
51;Número de Exibições Inválido;Invalid Number of Exibitions
52;Erro ao Digitar o Número de Exibições;Error Typing Number of Exibitions
53;Valor Unitário Inválido;Invalid Single Value
54;Erro ao Digitar Valor Unitário;Error Typing Single Value
55;Nome Inválido;Invalid Name
56;Erro ao Digitar o Nome;Error Typing Name
